pair1-b5-tf-s1-s20123648:    72.08 +/- 18.18
pair1-b5-tf-s1-s11907072:    64.07 +/- 18.17
pair1-b5-conv-s1-s6963200:    59.08 +/- 18.01
pair1-b5-tf-s1-s3969024:    58.62 +/- 17.99
pair1-b5-tf-s1-s6963200:    58.02 +/- 17.98
pair1-b5-conv-s1-s20123648:    55.12 +/- 17.99
pair1-b5-conv-s1-s3969024:    55.03 +/- 18.05
pair1-b5-conv-s1-s11907072:    52.67 +/- 17.96
pair1-b5-conv-s1-s2994176:    36.05 +/- 17.83
pair1-b5-tf-s1-s2994176:   -60.94 +/- 18.01
pair1-b5-conv-s1-s2019328:  -103.31 +/- 18.58
pair1-b5-conv-s1-s974848:  -111.72 +/- 18.80
pair1-b5-tf-s1-s2019328:  -116.76 +/- 18.72
pair1-b5-tf-s1-s974848:  -130.07 +/- 18.97
